Congress,Directory,ID,Number,Subtype,Summary,Type,Version,to_use
115,./data/115/bills/hr/hr2760/text-versions/ih,115_HR2760_IH,HR2760,HR,1,Bills,IH,1
114,./data/114/bills/s/s1771/text-versions/is,114_S1771_IS,S1771,S,1,Bills,IS,1
114,./data/114/bills/s/s2645/text-versions/is,114_S2645_IS,S2645,S,1,Bills,IS,1
115,./data/115/bills/hr/hr2061/text-versions/ih,115_HR2061_IH,HR2061,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr4332/text-versions/ih,113_HR4332_IH,HR4332,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1483/text-versions/ih,114_HR1483_IH,HR1483,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1735/text-versions/enr,114_HR1735_ENR,HR1735,HR,1,Bills,ENR,1
114,./data/114/bills/hr/hr3049/text-versions/rh,114_HR3049_RH,HR3049,HR,1,Bills,RH,1
114,./data/114/bills/s/s217/text-versions/is,114_S217_IS,S217,S,1,Bills,IS,1
114,./data/114/bills/hr/hr5688/text-versions/ih,114_HR5688_IH,HR5688,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr3018/text-versions/ih,114_HR3018_IH,HR3018,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr2068/text-versions/ih,113_HR2068_IH,HR2068,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr3902/text-versions/ih,115_HR3902_IH,HR3902,HR,1,Bills,IH,1
113,./data/113/bills/s/s2454/text-versions/is,113_S2454_IS,S2454,S,1,Bills,IS,1
113,./data/113/bills/hr/hr5662/text-versions/ih,113_HR5662_IH,HR5662,HR,1,Bills,IH,1
113,./data/113/bills/s/s2507/text-versions/is,113_S2507_IS,S2507,S,1,Bills,IS,1
113,./data/113/bills/hr/hr2851/text-versions/ih,113_HR2851_IH,HR2851,HR,1,Bills,IH,1
115,./data/115/bills/s/s1369/text-versions/is,115_S1369_IS,S1369,S,1,Bills,IS,1
114,./data/114/bills/s/s161/text-versions/is,114_S161_IS,S161,S,1,Bills,IS,1
115,./data/115/bills/s/s1758/text-versions/is,115_S1758_IS,S1758,S,1,Bills,IS,1
113,./data/113/bills/s/s2614/text-versions/is,113_S2614_IS,S2614,S,1,Bills,IS,1
113,./data/113/bills/s/s446/text-versions/is,113_S446_IS,S446,S,1,Bills,IS,1
115,./data/115/bills/hr/hr1367/text-versions/rh,115_HR1367_RH,HR1367,HR,1,Bills,RH,1
114,./data/114/bills/hr/hr645/text-versions/ih,114_HR645_IH,HR645,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4958/text-versions/ih,114_HR4958_IH,HR4958,HR,1,Bills,IH,1
114,./data/114/bills/s/s3424/text-versions/is,114_S3424_IS,S3424,S,1,Bills,IS,1
113,./data/113/bills/hr/hr4590/text-versions/ih,113_HR4590_IH,HR4590,HR,1,Bills,IH,1
113,./data/113/bills/s/s2516/text-versions/is,113_S2516_IS,S2516,S,1,Bills,IS,1
114,./data/114/bills/s/s2279/text-versions/is,114_S2279_IS,S2279,S,1,Bills,IS,1
113,./data/113/bills/hr/hr3730/text-versions/ih,113_HR3730_IH,HR3730,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr4773/text-versions/ih,113_HR4773_IH,HR4773,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr2057/text-versions/ih,113_HR2057_IH,HR2057,HR,1,Bills,IH,1
113,./data/113/bills/s/s633/text-versions/is,113_S633_IS,S633,S,1,Bills,IS,1
114,./data/114/bills/hr/hr2108/text-versions/ih,114_HR2108_IH,HR2108,HR,1,Bills,IH,1
115,./data/115/bills/s/s1782/text-versions/is,115_S1782_IS,S1782,S,1,Bills,IS,1
113,./data/113/bills/hr/hr1413/text-versions/ih,113_HR1413_IH,HR1413,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1584/text-versions/ih,114_HR1584_IH,HR1584,HR,1,Bills,IH,1
115,./data/115/bills/s/s505/text-versions/is,115_S505_IS,S505,S,1,Bills,IS,1
113,./data/113/bills/s/s1375/text-versions/is,113_S1375_IS,S1375,S,1,Bills,IS,1
113,./data/113/bills/hr/hr3576/text-versions/ih,113_HR3576_IH,HR3576,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr5947/text-versions/ih,114_HR5947_IH,HR5947,HR,1,Bills,IH,1
114,./data/114/bills/s/s1809/text-versions/is,114_S1809_IS,S1809,S,1,Bills,IS,1
114,./data/114/bills/s/s2408/text-versions/is,114_S2408_IS,S2408,S,1,Bills,IS,1
113,./data/113/bills/hr/hr864/text-versions/ih,113_HR864_IH,HR864,HR,1,Bills,IH,1
114,./data/114/bills/s/s493/text-versions/is,114_S493_IS,S493,S,1,Bills,IS,1
113,./data/113/bills/hr/hr4137/text-versions/ih,113_HR4137_IH,HR4137,HR,1,Bills,IH,1
113,./data/113/bills/s/s382/text-versions/is,113_S382_IS,S382,S,1,Bills,IS,1
114,./data/114/bills/hr/hr844/text-versions/ih,114_HR844_IH,HR844,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr1152/text-versions/ih,115_HR1152_IH,HR1152,HR,1,Bills,IH,1
115,./data/115/bills/s/s123/text-versions/is,115_S123_IS,S123,S,1,Bills,IS,1
113,./data/113/bills/hr/hr5451/text-versions/ih,113_HR5451_IH,HR5451,HR,1,Bills,IH,1
113,./data/113/bills/s/s1355/text-versions/is,113_S1355_IS,S1355,S,1,Bills,IS,1
114,./data/114/bills/hr/hr1728/text-versions/ih,114_HR1728_IH,HR1728,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr944/text-versions/ih,115_HR944_IH,HR944,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr678/text-versions/enr,113_HR678_ENR,HR678,HR,1,Bills,ENR,1
114,./data/114/bills/hr/hr5905/text-versions/ih,114_HR5905_IH,HR5905,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr2043/text-versions/ih,115_HR2043_IH,HR2043,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr2333/text-versions/ih,113_HR2333_IH,HR2333,HR,1,Bills,IH,1
115,./data/115/bills/s/s1204/text-versions/is,115_S1204_IS,S1204,S,1,Bills,IS,1
115,./data/115/bills/hr/hr1569/text-versions/ih,115_HR1569_IH,HR1569,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4763/text-versions/ih,114_HR4763_IH,HR4763,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr2421/text-versions/ih,114_HR2421_IH,HR2421,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr2505/text-versions/ih,115_HR2505_IH,HR2505,HR,1,Bills,IH,1
113,./data/113/bills/s/s2910/text-versions/is,113_S2910_IS,S2910,S,1,Bills,IS,1
114,./data/114/bills/hr/hr2933/text-versions/ih,114_HR2933_IH,HR2933,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr2217/text-versions/ih,114_HR2217_IH,HR2217,HR,1,Bills,IH,1
113,./data/113/bills/s/s933/text-versions/is,113_S933_IS,S933,S,1,Bills,IS,1
115,./data/115/bills/hr/hr1241/text-versions/ih,115_HR1241_IH,HR1241,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr3856/text-versions/ih,113_HR3856_IH,HR3856,HR,1,Bills,IH,1
114,./data/114/bills/s/s2314/text-versions/is,114_S2314_IS,S2314,S,1,Bills,IS,1
113,./data/113/bills/s/s1347/text-versions/is,113_S1347_IS,S1347,S,1,Bills,IS,1
113,./data/113/bills/s/s1789/text-versions/is,113_S1789_IS,S1789,S,1,Bills,IS,1
114,./data/114/bills/hr/hr3438/text-versions/rh,114_HR3438_RH,HR3438,HR,1,Bills,RH,1
115,./data/115/bills/hr/hr2491/text-versions/ih,115_HR2491_IH,HR2491,HR,1,Bills,IH,1
113,./data/113/bills/s/s2078/text-versions/is,113_S2078_IS,S2078,S,1,Bills,IS,1
114,./data/114/bills/hr/hr3047/text-versions/ih,114_HR3047_IH,HR3047,HR,1,Bills,IH,1
114,./data/114/bills/s/s414/text-versions/is,114_S414_IS,S414,S,1,Bills,IS,1
113,./data/113/bills/s/s2207/text-versions/is,113_S2207_IS,S2207,S,1,Bills,IS,1
115,./data/115/bills/hr/hr930/text-versions/ih,115_HR930_IH,HR930,HR,1,Bills,IH,1
113,./data/113/bills/s/s1299/text-versions/is,113_S1299_IS,S1299,S,1,Bills,IS,1
113,./data/113/bills/s/s2653/text-versions/is,113_S2653_IS,S2653,S,1,Bills,IS,1
114,./data/114/bills/hr/hr4344/text-versions/ih,114_HR4344_IH,HR4344,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr1856/text-versions/ih,113_HR1856_IH,HR1856,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr1090/text-versions/ih,113_HR1090_IH,HR1090,HR,1,Bills,IH,1
113,./data/113/bills/s/s2231/text-versions/is,113_S2231_IS,S2231,S,1,Bills,IS,1
114,./data/114/bills/hr/hr6169/text-versions/ih,114_HR6169_IH,HR6169,HR,1,Bills,IH,1
114,./data/114/bills/s/s1683/text-versions/is,114_S1683_IS,S1683,S,1,Bills,IS,1
113,./data/113/bills/hr/hr1305/text-versions/ih,113_HR1305_IH,HR1305,HR,1,Bills,IH,1
114,./data/114/bills/s/s1685/text-versions/is,114_S1685_IS,S1685,S,1,Bills,IS,1
113,./data/113/bills/s/s2780/text-versions/is,113_S2780_IS,S2780,S,1,Bills,IS,1
113,./data/113/bills/hr/hr169/text-versions/ih,113_HR169_IH,HR169,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1187/text-versions/ih,114_HR1187_IH,HR1187,HR,1,Bills,IH,1
114,./data/114/bills/s/s1263/text-versions/is,114_S1263_IS,S1263,S,1,Bills,IS,1
114,./data/114/bills/s/s354/text-versions/is,114_S354_IS,S354,S,1,Bills,IS,1
113,./data/113/bills/s/s1972/text-versions/is,113_S1972_IS,S1972,S,1,Bills,IS,1
114,./data/114/bills/hr/hr1693/text-versions/ih,114_HR1693_IH,HR1693,HR,1,Bills,IH,1
115,./data/115/bills/s/s380/text-versions/is,115_S380_IS,S380,S,1,Bills,IS,1
115,./data/115/bills/hr/hr893/text-versions/ih,115_HR893_IH,HR893,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1892/text-versions/rh,114_HR1892_RH,HR1892,HR,1,Bills,RH,1
114,./data/114/bills/s/s146/text-versions/is,114_S146_IS,S146,S,1,Bills,IS,1
113,./data/113/bills/s/s1236/text-versions/is,113_S1236_IS,S1236,S,1,Bills,IS,1
113,./data/113/bills/hr/hr5407/text-versions/ih,113_HR5407_IH,HR5407,HR,1,Bills,IH,1
113,./data/113/bills/s/s2394/text-versions/is,113_S2394_IS,S2394,S,1,Bills,IS,1
114,./data/114/bills/hr/hr3165/text-versions/ih,114_HR3165_IH,HR3165,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr2981/text-versions/ih,113_HR2981_IH,HR2981,HR,1,Bills,IH,1
114,./data/114/bills/s/s3271/text-versions/is,114_S3271_IS,S3271,S,1,Bills,IS,1
113,./data/113/bills/s/s97/text-versions/is,113_S97_IS,S97,S,1,Bills,IS,1
113,./data/113/bills/hr/hr2740/text-versions/ih,113_HR2740_IH,HR2740,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr5682/text-versions/ih,114_HR5682_IH,HR5682,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr1836/text-versions/ih,115_HR1836_IH,HR1836,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr3280/text-versions/rh,115_HR3280_RH,HR3280,HR,1,Bills,RH,1
113,./data/113/bills/s/s2889/text-versions/is,113_S2889_IS,S2889,S,1,Bills,IS,1
113,./data/113/bills/s/s2277/text-versions/is,113_S2277_IS,S2277,S,1,Bills,IS,1
114,./data/114/bills/s/s118/text-versions/is,114_S118_IS,S118,S,1,Bills,IS,1
114,./data/114/bills/s/s1231/text-versions/is,114_S1231_IS,S1231,S,1,Bills,IS,1
115,./data/115/bills/s/s1110/text-versions/is,115_S1110_IS,S1110,S,1,Bills,IS,1
114,./data/114/bills/hr/hr2365/text-versions/ih,114_HR2365_IH,HR2365,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr1293/text-versions/rh,115_HR1293_RH,HR1293,HR,1,Bills,RH,1
115,./data/115/bills/hr/hr1442/text-versions/ih,115_HR1442_IH,HR1442,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr397/text-versions/ih,113_HR397_IH,HR397,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr442/text-versions/ih,113_HR442_IH,HR442,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr3493/text-versions/rh,114_HR3493_RH,HR3493,HR,1,Bills,RH,1
114,./data/114/bills/s/s70/text-versions/is,114_S70_IS,S70,S,1,Bills,IS,1
114,./data/114/bills/s/s2628/text-versions/is,114_S2628_IS,S2628,S,1,Bills,IS,1
113,./data/113/bills/hr/hr4747/text-versions/ih,113_HR4747_IH,HR4747,HR,1,Bills,IH,1
113,./data/113/bills/s/s65/text-versions/is,113_S65_IS,S65,S,1,Bills,IS,1
113,./data/113/bills/s/s171/text-versions/is,113_S171_IS,S171,S,1,Bills,IS,1
114,./data/114/bills/hr/hr1634/text-versions/rh,114_HR1634_RH,HR1634,HR,1,Bills,RH,1
115,./data/115/bills/s/s598/text-versions/is,115_S598_IS,S598,S,1,Bills,IS,1
115,./data/115/bills/s/s290/text-versions/is,115_S290_IS,S290,S,1,Bills,IS,1
115,./data/115/bills/s/s484/text-versions/is,115_S484_IS,S484,S,1,Bills,IS,1
113,./data/113/bills/s/s299/text-versions/is,113_S299_IS,S299,S,1,Bills,IS,1
114,./data/114/bills/s/s1333/text-versions/is,114_S1333_IS,S1333,S,1,Bills,IS,1
114,./data/114/bills/s/s2669/text-versions/is,114_S2669_IS,S2669,S,1,Bills,IS,1
114,./data/114/bills/hr/hr2496/text-versions/enr,114_HR2496_ENR,HR2496,HR,1,Bills,ENR,1
114,./data/114/bills/s/s2303/text-versions/is,114_S2303_IS,S2303,S,1,Bills,IS,1
114,./data/114/bills/s/s652/text-versions/is,114_S652_IS,S652,S,1,Bills,IS,1
113,./data/113/bills/hr/hr5236/text-versions/ih,113_HR5236_IH,HR5236,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr4052/text-versions/ih,113_HR4052_IH,HR4052,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr3298/text-versions/ih,114_HR3298_IH,HR3298,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr3707/text-versions/ih,115_HR3707_IH,HR3707,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr2577/text-versions/ih,113_HR2577_IH,HR2577,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr602/text-versions/ih,115_HR602_IH,HR602,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr3141/text-versions/ih,113_HR3141_IH,HR3141,HR,1,Bills,IH,1
115,./data/115/bills/s/s1696/text-versions/is,115_S1696_IS,S1696,S,1,Bills,IS,1
115,./data/115/bills/s/s1489/text-versions/is,115_S1489_IS,S1489,S,1,Bills,IS,1
115,./data/115/bills/hr/hr510/text-versions/enr,115_HR510_ENR,HR510,HR,1,Bills,ENR,1
113,./data/113/bills/hr/hr5416/text-versions/ih,113_HR5416_IH,HR5416,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr5731/text-versions/ih,114_HR5731_IH,HR5731,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr5347/text-versions/ih,113_HR5347_IH,HR5347,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr452/text-versions/ih,114_HR452_IH,HR452,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr2114/text-versions/ih,113_HR2114_IH,HR2114,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr6034/text-versions/ih,114_HR6034_IH,HR6034,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr3265/text-versions/ih,115_HR3265_IH,HR3265,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr5137/text-versions/ih,113_HR5137_IH,HR5137,HR,1,Bills,IH,1
114,./data/114/bills/s/s2883/text-versions/is,114_S2883_IS,S2883,S,1,Bills,IS,1
114,./data/114/bills/hr/hr3942/text-versions/ih,114_HR3942_IH,HR3942,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr5474/text-versions/ih,113_HR5474_IH,HR5474,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4214/text-versions/ih,114_HR4214_IH,HR4214,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr6309/text-versions/ih,114_HR6309_IH,HR6309,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4773/text-versions/ih,114_HR4773_IH,HR4773,HR,1,Bills,IH,1
114,./data/114/bills/s/s2343/text-versions/is,114_S2343_IS,S2343,S,1,Bills,IS,1
113,./data/113/bills/hr/hr4199/text-versions/enr,113_HR4199_ENR,HR4199,HR,1,Bills,ENR,1
113,./data/113/bills/hr/hr2234/text-versions/ih,113_HR2234_IH,HR2234,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4091/text-versions/ih,114_HR4091_IH,HR4091,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4669/text-versions/ih,114_HR4669_IH,HR4669,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr774/text-versions/ih,113_HR774_IH,HR774,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr6393/text-versions/rds,114_HR6393_RDS,HR6393,HR,1,Bills,RDS,1
113,./data/113/bills/s/s803/text-versions/is,113_S803_IS,S803,S,1,Bills,IS,1
114,./data/114/bills/s/s2833/text-versions/is,114_S2833_IS,S2833,S,1,Bills,IS,1
114,./data/114/bills/hr/hr2791/text-versions/rh,114_HR2791_RH,HR2791,HR,1,Bills,RH,1
113,./data/113/bills/hr/hr3130/text-versions/ih,113_HR3130_IH,HR3130,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr1917/text-versions/ih,113_HR1917_IH,HR1917,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr5287/text-versions/ih,113_HR5287_IH,HR5287,HR,1,Bills,IH,1
113,./data/113/bills/s/s800/text-versions/is,113_S800_IS,S800,S,1,Bills,IS,1
114,./data/114/bills/hr/hr5594/text-versions/ih,114_HR5594_IH,HR5594,HR,1,Bills,IH,1
113,./data/113/bills/s/s2998/text-versions/is,113_S2998_IS,S2998,S,1,Bills,IS,1
114,./data/114/bills/hr/hr3810/text-versions/ih,114_HR3810_IH,HR3810,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1317/text-versions/rh,114_HR1317_RH,HR1317,HR,1,Bills,RH,1
114,./data/114/bills/s/s1569/text-versions/is,114_S1569_IS,S1569,S,1,Bills,IS,1
115,./data/115/bills/s/s481/text-versions/is,115_S481_IS,S481,S,1,Bills,IS,1
114,./data/114/bills/hr/hr6472/text-versions/ih,114_HR6472_IH,HR6472,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr4584/text-versions/ih,113_HR4584_IH,HR4584,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr5886/text-versions/ih,114_HR5886_IH,HR5886,HR,1,Bills,IH,1
113,./data/113/bills/s/s1656/text-versions/is,113_S1656_IS,S1656,S,1,Bills,IS,1
114,./data/114/bills/hr/hr1093/text-versions/ih,114_HR1093_IH,HR1093,HR,1,Bills,IH,1
114,./data/114/bills/s/s1038/text-versions/is,114_S1038_IS,S1038,S,1,Bills,IS,1
114,./data/114/bills/hr/hr835/text-versions/ih,114_HR835_IH,HR835,HR,1,Bills,IH,1
115,./data/115/bills/s/s873/text-versions/is,115_S873_IS,S873,S,1,Bills,IS,1
113,./data/113/bills/hr/hr3240/text-versions/rh,113_HR3240_RH,HR3240,HR,1,Bills,RH,1
113,./data/113/bills/hr/hr1124/text-versions/ih,113_HR1124_IH,HR1124,HR,1,Bills,IH,1
115,./data/115/bills/s/s1427/text-versions/is,115_S1427_IS,S1427,S,1,Bills,IS,1
115,./data/115/bills/s/s1567/text-versions/is,115_S1567_IS,S1567,S,1,Bills,IS,1
113,./data/113/bills/hr/hr3918/text-versions/ih,113_HR3918_IH,HR3918,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr3995/text-versions/ih,114_HR3995_IH,HR3995,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1182/text-versions/ih,114_HR1182_IH,HR1182,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr2957/text-versions/ih,114_HR2957_IH,HR2957,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr5550/text-versions/ih,113_HR5550_IH,HR5550,HR,1,Bills,IH,1
113,./data/113/bills/s/s15/text-versions/is,113_S15_IS,S15,S,1,Bills,IS,1
115,./data/115/bills/hr/hr2415/text-versions/ih,115_HR2415_IH,HR2415,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr5627/text-versions/ih,114_HR5627_IH,HR5627,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr1100/text-versions/ih,115_HR1100_IH,HR1100,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1864/text-versions/ih,114_HR1864_IH,HR1864,HR,1,Bills,IH,1
113,./data/113/bills/s/s2014/text-versions/is,113_S2014_IS,S2014,S,1,Bills,IS,1
115,./data/115/bills/hr/hr2112/text-versions/ih,115_HR2112_IH,HR2112,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr5270/text-versions/ih,113_HR5270_IH,HR5270,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr3450/text-versions/ih,115_HR3450_IH,HR3450,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1505/text-versions/ih,114_HR1505_IH,HR1505,HR,1,Bills,IH,1
113,./data/113/bills/s/s1286/text-versions/is,113_S1286_IS,S1286,S,1,Bills,IS,1
113,./data/113/bills/hr/hr797/text-versions/ih,113_HR797_IH,HR797,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr4279/text-versions/ih,114_HR4279_IH,HR4279,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr2692/text-versions/ih,114_HR2692_IH,HR2692,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr2160/text-versions/ih,113_HR2160_IH,HR2160,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr3465/text-versions/ih,114_HR3465_IH,HR3465,HR,1,Bills,IH,1
114,./data/114/bills/s/s1960/text-versions/is,114_S1960_IS,S1960,S,1,Bills,IS,1
113,./data/113/bills/s/s1017/text-versions/is,113_S1017_IS,S1017,S,1,Bills,IS,1
114,./data/114/bills/s/s927/text-versions/is,114_S927_IS,S927,S,1,Bills,IS,1
114,./data/114/bills/hr/hr3427/text-versions/ih,114_HR3427_IH,HR3427,HR,1,Bills,IH,1
115,./data/115/bills/hr/hr3149/text-versions/ih,115_HR3149_IH,HR3149,HR,1,Bills,IH,1
114,./data/114/bills/s/s3214/text-versions/is,114_S3214_IS,S3214,S,1,Bills,IS,1
113,./data/113/bills/s/s1641/text-versions/is,113_S1641_IS,S1641,S,1,Bills,IS,1
113,./data/113/bills/hr/hr2377/text-versions/ih,113_HR2377_IH,HR2377,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr3259/text-versions/ih,113_HR3259_IH,HR3259,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr307/text-versions/enr,113_HR307_ENR,HR307,HR,1,Bills,ENR,1
115,./data/115/bills/s/s1271/text-versions/is,115_S1271_IS,S1271,S,1,Bills,IS,1
113,./data/113/bills/s/s351/text-versions/is,113_S351_IS,S351,S,1,Bills,IS,1
113,./data/113/bills/s/s2131/text-versions/is,113_S2131_IS,S2131,S,1,Bills,IS,1
114,./data/114/bills/hr/hr3464/text-versions/ih,114_HR3464_IH,HR3464,HR,1,Bills,IH,1
113,./data/113/bills/hr/hr668/text-versions/ih,113_HR668_IH,HR668,HR,1,Bills,IH,1
113,./data/113/bills/s/s1928/text-versions/is,113_S1928_IS,S1928,S,1,Bills,IS,1
113,./data/113/bills/hr/hr127/text-versions/ih,113_HR127_IH,HR127,HR,1,Bills,IH,1
113,./data/113/bills/s/s1132/text-versions/is,113_S1132_IS,S1132,S,1,Bills,IS,1
113,./data/113/bills/s/s157/text-versions/enr,113_S157_ENR,S157,S,1,Bills,ENR,1
114,./data/114/bills/hr/hr1097/text-versions/ih,114_HR1097_IH,HR1097,HR,1,Bills,IH,1
114,./data/114/bills/hr/hr1162/text-versions/rh,114_HR1162_RH,HR1162,HR,1,Bills,RH,1
113,./data/113/bills/hr/hr1410/text-versions/rh,113_HR1410_RH,HR1410,HR,1,Bills,RH,1
114,./data/114/bills/hr/hr6191/text-versions/ih,114_HR6191_IH,HR6191,HR,1,Bills,IH,1
