Congress,Number,Directory,ID,Subtype,Summary,Type,Version
115,HR1441,./data/115/bills/hr/hr1441/text-versions/ih,115_HR1441_IH,HR,1,Bills,IH
115,HR3797,./data/115/bills/hr/hr3797/text-versions/ih,115_HR3797_IH,HR,1,Bills,IH
115,HR239,./data/115/bills/hr/hr239/text-versions/ih,115_HR239_IH,HR,1,Bills,IH
115,HR1839,./data/115/bills/hr/hr1839/text-versions/ih,115_HR1839_IH,HR,1,Bills,IH
115,HR1431,./data/115/bills/hr/hr1431/text-versions/rh,115_HR1431_RH,HR,1,Bills,RH
115,S1687,./data/115/bills/s/s1687/text-versions/is,115_S1687_IS,S,1,Bills,IS
115,S172,./data/115/bills/s/s172/text-versions/is,115_S172_IS,S,1,Bills,IS
115,HRES8,./data/115/bills/hres/hres8/text-versions/eh,115_HRES8_EH,HRES,1,Simple Resolutions,EH
115,S891,./data/115/bills/s/s891/text-versions/is,115_S891_IS,S,1,Bills,IS
115,HR1402,./data/115/bills/hr/hr1402/text-versions/ih,115_HR1402_IH,HR,1,Bills,IH
115,HR1889,./data/115/bills/hr/hr1889/text-versions/ih,115_HR1889_IH,HR,1,Bills,IH
115,HR1209,./data/115/bills/hr/hr1209/text-versions/ih,115_HR1209_IH,HR,1,Bills,IH
115,HRES15,./data/115/bills/hres/hres15/text-versions/ih,115_HRES15_IH,HRES,1,Simple Resolutions,IH
115,S103,./data/115/bills/s/s103/text-versions/is,115_S103_IS,S,1,Bills,IS
115,SJRES48,./data/115/bills/sjres/sjres48/text-versions/is,115_SJRES48_IS,SJRES,1,Joint Resolutions,IS
115,HRES156,./data/115/bills/hres/hres156/text-versions/rh,115_HRES156_RH,HRES,1,Simple Resolutions,RH
115,HR1840,./data/115/bills/hr/hr1840/text-versions/ih,115_HR1840_IH,HR,1,Bills,IH
115,S516,./data/115/bills/s/s516/text-versions/is,115_S516_IS,S,1,Bills,IS
115,HR2204,./data/115/bills/hr/hr2204/text-versions/ih,115_HR2204_IH,HR,1,Bills,IH
115,S468,./data/115/bills/s/s468/text-versions/is,115_S468_IS,S,1,Bills,IS
115,HR48,./data/115/bills/hr/hr48/text-versions/ih,115_HR48_IH,HR,1,Bills,IH
115,HRES99,./data/115/bills/hres/hres99/text-versions/rh,115_HRES99_RH,HRES,1,Simple Resolutions,RH
115,HR2945,./data/115/bills/hr/hr2945/text-versions/ih,115_HR2945_IH,HR,1,Bills,IH
115,HR3671,./data/115/bills/hr/hr3671/text-versions/ih,115_HR3671_IH,HR,1,Bills,IH
115,HR1006,./data/115/bills/hr/hr1006/text-versions/ih,115_HR1006_IH,HR,1,Bills,IH
115,HR211,./data/115/bills/hr/hr211/text-versions/ih,115_HR211_IH,HR,1,Bills,IH
115,HR839,./data/115/bills/hr/hr839/text-versions/ih,115_HR839_IH,HR,1,Bills,IH
115,S1924,./data/115/bills/s/s1924/text-versions/is,115_S1924_IS,S,1,Bills,IS
115,HR2848,./data/115/bills/hr/hr2848/text-versions/ih,115_HR2848_IH,HR,1,Bills,IH
115,S778,./data/115/bills/s/s778/text-versions/is,115_S778_IS,S,1,Bills,IS
115,S358,./data/115/bills/s/s358/text-versions/is,115_S358_IS,S,1,Bills,IS
115,HR210,./data/115/bills/hr/hr210/text-versions/ih,115_HR210_IH,HR,1,Bills,IH
115,HR1322,./data/115/bills/hr/hr1322/text-versions/ih,115_HR1322_IH,HR,1,Bills,IH
115,HR606,./data/115/bills/hr/hr606/text-versions/ih,115_HR606_IH,HR,1,Bills,IH
115,HR988,./data/115/bills/hr/hr988/text-versions/ih,115_HR988_IH,HR,1,Bills,IH
115,HR1557,./data/115/bills/hr/hr1557/text-versions/ih,115_HR1557_IH,HR,1,Bills,IH
115,HRES278,./data/115/bills/hres/hres278/text-versions/ih,115_HRES278_IH,HRES,1,Simple Resolutions,IH
115,HR3035,./data/115/bills/hr/hr3035/text-versions/ih,115_HR3035_IH,HR,1,Bills,IH
115,HR725,./data/115/bills/hr/hr725/text-versions/rh,115_HR725_RH,HR,1,Bills,RH
115,HR1406,./data/115/bills/hr/hr1406/text-versions/ih,115_HR1406_IH,HR,1,Bills,IH
115,HR290,./data/115/bills/hr/hr290/text-versions/ih,115_HR290_IH,HR,1,Bills,IH
115,S1974,./data/115/bills/s/s1974/text-versions/is,115_S1974_IS,S,1,Bills,IS
115,S233,./data/115/bills/s/s233/text-versions/is,115_S233_IS,S,1,Bills,IS
115,S1148,./data/115/bills/s/s1148/text-versions/is,115_S1148_IS,S,1,Bills,IS
115,HR1418,./data/115/bills/hr/hr1418/text-versions/ih,115_HR1418_IH,HR,1,Bills,IH
115,S302,./data/115/bills/s/s302/text-versions/is,115_S302_IS,S,1,Bills,IS
115,HR3489,./data/115/bills/hr/hr3489/text-versions/ih,115_HR3489_IH,HR,1,Bills,IH
115,HR345,./data/115/bills/hr/hr345/text-versions/ih,115_HR345_IH,HR,1,Bills,IH
115,HJRES20,./data/115/bills/hjres/hjres20/text-versions/ih,115_HJRES20_IH,HJRES,1,Joint Resolutions,IH
115,S1298,./data/115/bills/s/s1298/text-versions/is,115_S1298_IS,S,1,Bills,IS
115,HR431,./data/115/bills/hr/hr431/text-versions/ih,115_HR431_IH,HR,1,Bills,IH
115,HR1169,./data/115/bills/hr/hr1169/text-versions/ih,115_HR1169_IH,HR,1,Bills,IH
115,HR3450,./data/115/bills/hr/hr3450/text-versions/ih,115_HR3450_IH,HR,1,Bills,IH
115,SRES228,./data/115/bills/sres/sres228/text-versions/is,115_SRES228_IS,SRES,1,Simple Resolutions,IS
115,S1151,./data/115/bills/s/s1151/text-versions/is,115_S1151_IS,S,1,Bills,IS
115,SRES236,./data/115/bills/sres/sres236/text-versions/is,115_SRES236_IS,SRES,1,Simple Resolutions,IS
115,HR2891,./data/115/bills/hr/hr2891/text-versions/ih,115_HR2891_IH,HR,1,Bills,IH
115,HRES324,./data/115/bills/hres/hres324/text-versions/rh,115_HRES324_RH,HRES,1,Simple Resolutions,RH
115,HR3732,./data/115/bills/hr/hr3732/text-versions/rds,115_HR3732_RDS,HR,1,Bills,RDS
115,HR955,./data/115/bills/hr/hr955/text-versions/ih,115_HR955_IH,HR,1,Bills,IH
115,S518,./data/115/bills/s/s518/text-versions/is,115_S518_IS,S,1,Bills,IS
115,HRES31,./data/115/bills/hres/hres31/text-versions/ih,115_HRES31_IH,HRES,1,Simple Resolutions,IH
115,S376,./data/115/bills/s/s376/text-versions/is,115_S376_IS,S,1,Bills,IS
115,HR1571,./data/115/bills/hr/hr1571/text-versions/ih,115_HR1571_IH,HR,1,Bills,IH
115,HR3198,./data/115/bills/hr/hr3198/text-versions/ih,115_HR3198_IH,HR,1,Bills,IH
115,HR3767,./data/115/bills/hr/hr3767/text-versions/ih,115_HR3767_IH,HR,1,Bills,IH
115,HR2099,./data/115/bills/hr/hr2099/text-versions/ih,115_HR2099_IH,HR,1,Bills,IH
115,HRES494,./data/115/bills/hres/hres494/text-versions/ih,115_HRES494_IH,HRES,1,Simple Resolutions,IH
115,S354,./data/115/bills/s/s354/text-versions/is,115_S354_IS,S,1,Bills,IS
115,HRES533,./data/115/bills/hres/hres533/text-versions/rh,115_HRES533_RH,HRES,1,Simple Resolutions,RH
115,HR3036,./data/115/bills/hr/hr3036/text-versions/ih,115_HR3036_IH,HR,1,Bills,IH
115,SJRES17,./data/115/bills/sjres/sjres17/text-versions/is,115_SJRES17_IS,SJRES,1,Joint Resolutions,IS
115,HR619,./data/115/bills/hr/hr619/text-versions/ih,115_HR619_IH,HR,1,Bills,IH
115,HR2485,./data/115/bills/hr/hr2485/text-versions/ih,115_HR2485_IH,HR,1,Bills,IH
115,HRES508,./data/115/bills/hres/hres508/text-versions/ih,115_HRES508_IH,HRES,1,Simple Resolutions,IH
115,HR665,./data/115/bills/hr/hr665/text-versions/ih,115_HR665_IH,HR,1,Bills,IH
115,HR2575,./data/115/bills/hr/hr2575/text-versions/ih,115_HR2575_IH,HR,1,Bills,IH
115,HR1921,./data/115/bills/hr/hr1921/text-versions/ih,115_HR1921_IH,HR,1,Bills,IH
115,HR178,./data/115/bills/hr/hr178/text-versions/ih,115_HR178_IH,HR,1,Bills,IH
115,HR425,./data/115/bills/hr/hr425/text-versions/ih,115_HR425_IH,HR,1,Bills,IH
115,HR681,./data/115/bills/hr/hr681/text-versions/ih,115_HR681_IH,HR,1,Bills,IH
115,HRES447,./data/115/bills/hres/hres447/text-versions/rh,115_HRES447_RH,HRES,1,Simple Resolutions,RH
115,HR2506,./data/115/bills/hr/hr2506/text-versions/ih,115_HR2506_IH,HR,1,Bills,IH
115,SRES166,./data/115/bills/sres/sres166/text-versions/ats,115_SRES166_ATS,SRES,1,Simple Resolutions,ATS
115,HRES103,./data/115/bills/hres/hres103/text-versions/ih,115_HRES103_IH,HRES,1,Simple Resolutions,IH
115,HR833,./data/115/bills/hr/hr833/text-versions/ih,115_HR833_IH,HR,1,Bills,IH
115,HR2915,./data/115/bills/hr/hr2915/text-versions/ih,115_HR2915_IH,HR,1,Bills,IH
115,HR1693,./data/115/bills/hr/hr1693/text-versions/ih,115_HR1693_IH,HR,1,Bills,IH
115,S134,./data/115/bills/s/s134/text-versions/is,115_S134_IS,S,1,Bills,IS
115,S1839,./data/115/bills/s/s1839/text-versions/is,115_S1839_IS,S,1,Bills,IS
115,S90,./data/115/bills/s/s90/text-versions/is,115_S90_IS,S,1,Bills,IS
115,SJRES2,./data/115/bills/sjres/sjres2/text-versions/is,115_SJRES2_IS,SJRES,1,Joint Resolutions,IS
115,HR243,./data/115/bills/hr/hr243/text-versions/ih,115_HR243_IH,HR,1,Bills,IH
115,HR1350,./data/115/bills/hr/hr1350/text-versions/ih,115_HR1350_IH,HR,1,Bills,IH
115,S736,./data/115/bills/s/s736/text-versions/is,115_S736_IS,S,1,Bills,IS
115,SJRES11,./data/115/bills/sjres/sjres11/text-versions/is,115_SJRES11_IS,SJRES,1,Joint Resolutions,IS
115,HR2973,./data/115/bills/hr/hr2973/text-versions/ih,115_HR2973_IH,HR,1,Bills,IH
115,HRES159,./data/115/bills/hres/hres159/text-versions/ih,115_HRES159_IH,HRES,1,Simple Resolutions,IH
115,HRES562,./data/115/bills/hres/hres562/text-versions/rh,115_HRES562_RH,HRES,1,Simple Resolutions,RH
115,HR3013,./data/115/bills/hr/hr3013/text-versions/ih,115_HR3013_IH,HR,1,Bills,IH
115,HR3384,./data/115/bills/hr/hr3384/text-versions/ih,115_HR3384_IH,HR,1,Bills,IH
115,HR72,./data/115/bills/hr/hr72/text-versions/enr,115_HR72_ENR,HR,1,Bills,ENR
115,SRES99,./data/115/bills/sres/sres99/text-versions/is,115_SRES99_IS,SRES,1,Simple Resolutions,IS
115,HR36,./data/115/bills/hr/hr36/text-versions/ih,115_HR36_IH,HR,1,Bills,IH
115,HR439,./data/115/bills/hr/hr439/text-versions/ih,115_HR439_IH,HR,1,Bills,IH
115,HR2765,./data/115/bills/hr/hr2765/text-versions/ih,115_HR2765_IH,HR,1,Bills,IH
115,S1329,./data/115/bills/s/s1329/text-versions/is,115_S1329_IS,S,1,Bills,IS
115,HR918,./data/115/bills/hr/hr918/text-versions/rh,115_HR918_RH,HR,1,Bills,RH
115,HR1116,./data/115/bills/hr/hr1116/text-versions/ih,115_HR1116_IH,HR,1,Bills,IH
115,HR1838,./data/115/bills/hr/hr1838/text-versions/ih,115_HR1838_IH,HR,1,Bills,IH
115,HR1306,./data/115/bills/hr/hr1306/text-versions/rh,115_HR1306_RH,HR,1,Bills,RH
115,HR3602,./data/115/bills/hr/hr3602/text-versions/ih,115_HR3602_IH,HR,1,Bills,IH
115,HR1631,./data/115/bills/hr/hr1631/text-versions/ih,115_HR1631_IH,HR,1,Bills,IH
115,HCONRES68,./data/115/bills/hconres/hconres68/text-versions/ih,115_HCONRES68_IH,HCONRES,1,Concurrent Resolutions,IH
115,S1161,./data/115/bills/s/s1161/text-versions/is,115_S1161_IS,S,1,Bills,IS
115,S879,./data/115/bills/s/s879/text-versions/is,115_S879_IS,S,1,Bills,IS
115,HCONRES22,./data/115/bills/hconres/hconres22/text-versions/ih,115_HCONRES22_IH,HCONRES,1,Concurrent Resolutions,IH
115,S223,./data/115/bills/s/s223/text-versions/is,115_S223_IS,S,1,Bills,IS
115,HR2862,./data/115/bills/hr/hr2862/text-versions/ih,115_HR2862_IH,HR,1,Bills,IH
115,S133,./data/115/bills/s/s133/text-versions/is,115_S133_IS,S,1,Bills,IS
115,HRES384,./data/115/bills/hres/hres384/text-versions/ih,115_HRES384_IH,HRES,1,Simple Resolutions,IH
115,HR2128,./data/115/bills/hr/hr2128/text-versions/ih,115_HR2128_IH,HR,1,Bills,IH
115,HR548,./data/115/bills/hr/hr548/text-versions/ih,115_HR548_IH,HR,1,Bills,IH
115,S465,./data/115/bills/s/s465/text-versions/is,115_S465_IS,S,1,Bills,IS
115,HR470,./data/115/bills/hr/hr470/text-versions/ih,115_HR470_IH,HR,1,Bills,IH
115,HJRES66,./data/115/bills/hjres/hjres66/text-versions/rds,115_HJRES66_RDS,HJRES,1,Joint Resolutions,RDS
115,HR627,./data/115/bills/hr/hr627/text-versions/rh,115_HR627_RH,HR,1,Bills,RH
115,HR848,./data/115/bills/hr/hr848/text-versions/ih,115_HR848_IH,HR,1,Bills,IH
115,HR3176,./data/115/bills/hr/hr3176/text-versions/ih,115_HR3176_IH,HR,1,Bills,IH
115,S997,./data/115/bills/s/s997/text-versions/is,115_S997_IS,S,1,Bills,IS
115,HR3676,./data/115/bills/hr/hr3676/text-versions/ih,115_HR3676_IH,HR,1,Bills,IH
115,SRES253,./data/115/bills/sres/sres253/text-versions/ats,115_SRES253_ATS,SRES,1,Simple Resolutions,ATS
115,HR4145,./data/115/bills/hr/hr4145/text-versions/ih,115_HR4145_IH,HR,1,Bills,IH
115,HR2465,./data/115/bills/hr/hr2465/text-versions/ih,115_HR2465_IH,HR,1,Bills,IH
115,HR2172,./data/115/bills/hr/hr2172/text-versions/ih,115_HR2172_IH,HR,1,Bills,IH
115,S178,./data/115/bills/s/s178/text-versions/rfh,115_S178_RFH,S,1,Bills,RFH
115,HR3410,./data/115/bills/hr/hr3410/text-versions/ih,115_HR3410_IH,HR,1,Bills,IH
115,S1977,./data/115/bills/s/s1977/text-versions/is,115_S1977_IS,S,1,Bills,IS
115,S30,./data/115/bills/s/s30/text-versions/is,115_S30_IS,S,1,Bills,IS
115,HR2954,./data/115/bills/hr/hr2954/text-versions/ih,115_HR2954_IH,HR,1,Bills,IH
115,HR2149,./data/115/bills/hr/hr2149/text-versions/ih,115_HR2149_IH,HR,1,Bills,IH
115,HR54,./data/115/bills/hr/hr54/text-versions/ih,115_HR54_IH,HR,1,Bills,IH
115,S163,./data/115/bills/s/s163/text-versions/is,115_S163_IS,S,1,Bills,IS
115,SRES50,./data/115/bills/sres/sres50/text-versions/is,115_SRES50_IS,SRES,1,Simple Resolutions,IS
115,S1107,./data/115/bills/s/s1107/text-versions/is,115_S1107_IS,S,1,Bills,IS
115,HR822,./data/115/bills/hr/hr822/text-versions/ih,115_HR822_IH,HR,1,Bills,IH
115,HR2186,./data/115/bills/hr/hr2186/text-versions/ih,115_HR2186_IH,HR,1,Bills,IH
115,HRES263,./data/115/bills/hres/hres263/text-versions/ih,115_HRES263_IH,HRES,1,Simple Resolutions,IH
115,HJRES24,./data/115/bills/hjres/hjres24/text-versions/ih,115_HJRES24_IH,HJRES,1,Joint Resolutions,IH
115,S1249,./data/115/bills/s/s1249/text-versions/is,115_S1249_IS,S,1,Bills,IS
115,S11,./data/115/bills/s/s11/text-versions/is,115_S11_IS,S,1,Bills,IS
115,HR97,./data/115/bills/hr/hr97/text-versions/ih,115_HR97_IH,HR,1,Bills,IH
115,HR1073,./data/115/bills/hr/hr1073/text-versions/rh,115_HR1073_RH,HR,1,Bills,RH
115,HR1899,./data/115/bills/hr/hr1899/text-versions/ih,115_HR1899_IH,HR,1,Bills,IH
115,SJRES35,./data/115/bills/sjres/sjres35/text-versions/rfh,115_SJRES35_RFH,SJRES,1,Joint Resolutions,RFH
115,HR677,./data/115/bills/hr/hr677/text-versions/ih,115_HR677_IH,HR,1,Bills,IH
115,HR2625,./data/115/bills/hr/hr2625/text-versions/ih,115_HR2625_IH,HR,1,Bills,IH
115,S558,./data/115/bills/s/s558/text-versions/is,115_S558_IS,S,1,Bills,IS
115,HR3156,./data/115/bills/hr/hr3156/text-versions/ih,115_HR3156_IH,HR,1,Bills,IH
115,HR2529,./data/115/bills/hr/hr2529/text-versions/ih,115_HR2529_IH,HR,1,Bills,IH
115,S1089,./data/115/bills/s/s1089/text-versions/is,115_S1089_IS,S,1,Bills,IS
115,S911,./data/115/bills/s/s911/text-versions/is,115_S911_IS,S,1,Bills,IS
115,S1169,./data/115/bills/s/s1169/text-versions/is,115_S1169_IS,S,1,Bills,IS
115,HJRES3,./data/115/bills/hjres/hjres3/text-versions/ih,115_HJRES3_IH,HJRES,1,Joint Resolutions,IH
115,HR2519,./data/115/bills/hr/hr2519/text-versions/rds,115_HR2519_RDS,HR,1,Bills,RDS
115,HRES365,./data/115/bills/hres/hres365/text-versions/ih,115_HRES365_IH,HRES,1,Simple Resolutions,IH
115,S1017,./data/115/bills/s/s1017/text-versions/is,115_S1017_IS,S,1,Bills,IS
115,S1467,./data/115/bills/s/s1467/text-versions/is,115_S1467_IS,S,1,Bills,IS
115,HJRES40,./data/115/bills/hjres/hjres40/text-versions/rds,115_HJRES40_RDS,HJRES,1,Joint Resolutions,RDS
115,HR1313,./data/115/bills/hr/hr1313/text-versions/ih,115_HR1313_IH,HR,1,Bills,IH
115,HR3349,./data/115/bills/hr/hr3349/text-versions/ih,115_HR3349_IH,HR,1,Bills,IH
115,S793,./data/115/bills/s/s793/text-versions/is,115_S793_IS,S,1,Bills,IS
115,HR3531,./data/115/bills/hr/hr3531/text-versions/ih,115_HR3531_IH,HR,1,Bills,IH
115,HR442,./data/115/bills/hr/hr442/text-versions/ih,115_HR442_IH,HR,1,Bills,IH
115,S1382,./data/115/bills/s/s1382/text-versions/is,115_S1382_IS,S,1,Bills,IS
115,SRES51,./data/115/bills/sres/sres51/text-versions/is,115_SRES51_IS,SRES,1,Simple Resolutions,IS
115,HR993,./data/115/bills/hr/hr993/text-versions/ih,115_HR993_IH,HR,1,Bills,IH
115,HR1007,./data/115/bills/hr/hr1007/text-versions/ih,115_HR1007_IH,HR,1,Bills,IH
115,HR891,./data/115/bills/hr/hr891/text-versions/ih,115_HR891_IH,HR,1,Bills,IH
115,HR943,./data/115/bills/hr/hr943/text-versions/ih,115_HR943_IH,HR,1,Bills,IH
115,HR883,./data/115/bills/hr/hr883/text-versions/rh,115_HR883_RH,HR,1,Bills,RH
115,HR1395,./data/115/bills/hr/hr1395/text-versions/ih,115_HR1395_IH,HR,1,Bills,IH
115,HR3846,./data/115/bills/hr/hr3846/text-versions/ih,115_HR3846_IH,HR,1,Bills,IH
115,HJRES101,./data/115/bills/hjres/hjres101/text-versions/ih,115_HJRES101_IH,HJRES,1,Joint Resolutions,IH
115,HR2077,./data/115/bills/hr/hr2077/text-versions/ih,115_HR2077_IH,HR,1,Bills,IH
115,S619,./data/115/bills/s/s619/text-versions/is,115_S619_IS,S,1,Bills,IS
115,HR2452,./data/115/bills/hr/hr2452/text-versions/ih,115_HR2452_IH,HR,1,Bills,IH
115,S488,./data/115/bills/s/s488/text-versions/is,115_S488_IS,S,1,Bills,IS
115,SRES152,./data/115/bills/sres/sres152/text-versions/ats,115_SRES152_ATS,SRES,1,Simple Resolutions,ATS
115,S219,./data/115/bills/s/s219/text-versions/is,115_S219_IS,S,1,Bills,IS
115,S979,./data/115/bills/s/s979/text-versions/is,115_S979_IS,S,1,Bills,IS
115,HR179,./data/115/bills/hr/hr179/text-versions/ih,115_HR179_IH,HR,1,Bills,IH
115,HR455,./data/115/bills/hr/hr455/text-versions/rh,115_HR455_RH,HR,1,Bills,RH
115,HRES135,./data/115/bills/hres/hres135/text-versions/ih,115_HRES135_IH,HRES,1,Simple Resolutions,IH
115,S556,./data/115/bills/s/s556/text-versions/is,115_S556_IS,S,1,Bills,IS
115,HR510,./data/115/bills/hr/hr510/text-versions/rh,115_HR510_RH,HR,1,Bills,RH
115,HR2677,./data/115/bills/hr/hr2677/text-versions/ih,115_HR2677_IH,HR,1,Bills,IH
115,HR2383,./data/115/bills/hr/hr2383/text-versions/ih,115_HR2383_IH,HR,1,Bills,IH
115,HR1741,./data/115/bills/hr/hr1741/text-versions/ih,115_HR1741_IH,HR,1,Bills,IH
115,HCONRES29,./data/115/bills/hconres/hconres29/text-versions/ih,115_HCONRES29_IH,HCONRES,1,Concurrent Resolutions,IH
115,HR700,./data/115/bills/hr/hr700/text-versions/ih,115_HR700_IH,HR,1,Bills,IH
115,HR2524,./data/115/bills/hr/hr2524/text-versions/ih,115_HR2524_IH,HR,1,Bills,IH
115,HRES173,./data/115/bills/hres/hres173/text-versions/rh,115_HRES173_RH,HRES,1,Simple Resolutions,RH
115,HR2175,./data/115/bills/hr/hr2175/text-versions/ih,115_HR2175_IH,HR,1,Bills,IH
115,HR1262,./data/115/bills/hr/hr1262/text-versions/ih,115_HR1262_IH,HR,1,Bills,IH
115,HRES118,./data/115/bills/hres/hres118/text-versions/ih,115_HRES118_IH,HRES,1,Simple Resolutions,IH
115,HR1627,./data/115/bills/hr/hr1627/text-versions/ih,115_HR1627_IH,HR,1,Bills,IH
115,HR215,./data/115/bills/hr/hr215/text-versions/ih,115_HR215_IH,HR,1,Bills,IH
115,SJRES24,./data/115/bills/sjres/sjres24/text-versions/is,115_SJRES24_IS,SJRES,1,Joint Resolutions,IS
115,HR108,./data/115/bills/hr/hr108/text-versions/ih,115_HR108_IH,HR,1,Bills,IH
115,HR2633,./data/115/bills/hr/hr2633/text-versions/ih,115_HR2633_IH,HR,1,Bills,IH
115,SJRES19,./data/115/bills/sjres/sjres19/text-versions/pcs,115_SJRES19_PCS,SJRES,1,Joint Resolutions,PCS
115,HR1376,./data/115/bills/hr/hr1376/text-versions/ih,115_HR1376_IH,HR,1,Bills,IH
115,HR2779,./data/115/bills/hr/hr2779/text-versions/ih,115_HR2779_IH,HR,1,Bills,IH
115,HR1348,./data/115/bills/hr/hr1348/text-versions/ih,115_HR1348_IH,HR,1,Bills,IH
115,HJRES103,./data/115/bills/hjres/hjres103/text-versions/ih,115_HJRES103_IH,HJRES,1,Joint Resolutions,IH
115,S434,./data/115/bills/s/s434/text-versions/is,115_S434_IS,S,1,Bills,IS
115,HRES33,./data/115/bills/hres/hres33/text-versions/rh,115_HRES33_RH,HRES,1,Simple Resolutions,RH
115,HR282,./data/115/bills/hr/hr282/text-versions/rh,115_HR282_RH,HR,1,Bills,RH
115,HR424,./data/115/bills/hr/hr424/text-versions/ih,115_HR424_IH,HR,1,Bills,IH
115,HR954,./data/115/bills/hr/hr954/text-versions/rh,115_HR954_RH,HR,1,Bills,RH
115,HR1166,./data/115/bills/hr/hr1166/text-versions/ih,115_HR1166_IH,HR,1,Bills,IH
115,HRES433,./data/115/bills/hres/hres433/text-versions/ih,115_HRES433_IH,HRES,1,Simple Resolutions,IH
115,HR2037,./data/115/bills/hr/hr2037/text-versions/ih,115_HR2037_IH,HR,1,Bills,IH
115,HR344,./data/115/bills/hr/hr344/text-versions/ih,115_HR344_IH,HR,1,Bills,IH
115,S991,./data/115/bills/s/s991/text-versions/is,115_S991_IS,S,1,Bills,IS
115,HR694,./data/115/bills/hr/hr694/text-versions/ih,115_HR694_IH,HR,1,Bills,IH
115,HR1126,./data/115/bills/hr/hr1126/text-versions/ih,115_HR1126_IH,HR,1,Bills,IH
115,HR2950,./data/115/bills/hr/hr2950/text-versions/ih,115_HR2950_IH,HR,1,Bills,IH
115,HRES364,./data/115/bills/hres/hres364/text-versions/ih,115_HRES364_IH,HRES,1,Simple Resolutions,IH
115,HR921,./data/115/bills/hr/hr921/text-versions/ih,115_HR921_IH,HR,1,Bills,IH
115,HR1914,./data/115/bills/hr/hr1914/text-versions/ih,115_HR1914_IH,HR,1,Bills,IH
115,S1463,./data/115/bills/s/s1463/text-versions/is,115_S1463_IS,S,1,Bills,IS
115,HR1085,./data/115/bills/hr/hr1085/text-versions/ih,115_HR1085_IH,HR,1,Bills,IH
115,HR2183,./data/115/bills/hr/hr2183/text-versions/ih,115_HR2183_IH,HR,1,Bills,IH
115,HR1221,./data/115/bills/hr/hr1221/text-versions/ih,115_HR1221_IH,HR,1,Bills,IH
115,HR1722,./data/115/bills/hr/hr1722/text-versions/ih,115_HR1722_IH,HR,1,Bills,IH
